cluster_id,member_index
0,39
0,87
0,112
0,114
0,152
0,224
0,241
0,278
0,315
0,350
0,367
0,372
0,383
0,388
0,390
0,407
0,435
0,445
0,511
0,517
1,65
1,137
1,141
1,142
1,321
1,324
1,448
1,461
1,470
1,509
1,656
2,9
2,147
2,213
2,314
2,364
2,408
2,431
2,436
2,449
2,472
2,614
2,615
3,154
3,170
3,256
3,389
3,463
3,475
3,577
4,129
4,245
4,247
4,248
4,253
4,334
4,485
4,488
4,493
4,512
4,518
4,555
4,557
4,653
5,97
5,126
5,231
5,234
5,489
5,558
5,566
5,575
5,644
5,658
6,4
6,73
6,280
6,302
6,307
6,444
6,487
6,543
6,553
6,581
6,646
7,59
7,102
7,122
7,193
7,226
7,311
7,347
7,362
7,376
7,394
7,453
7,528
7,596
8,49
8,80
8,127
8,156
8,545
8,556
8,599
8,636
9,26
9,46
9,85
9,125
9,205
9,211
9,262
9,294
9,374
9,420
9,468
9,473
9,477
9,519
9,560
9,618
10,168
10,189
10,190
10,384
10,491
10,643
11,24
11,44
11,239
11,295
11,330
11,333
11,335
11,358
11,370
11,377
11,424
11,434
11,515
11,554
11,559
11,569
11,634
11,654
12,2
12,11
12,119
12,123
12,143
12,179
12,230
12,322
12,371
12,456
12,483
12,521
12,662
13,120
13,204
13,236
13,244
13,257
13,351
13,409
13,538
13,580
13,606
13,617
13,661
14,14
14,42
14,99
14,107
14,133
14,139
14,282
14,283
14,319
14,343
14,429
14,455
14,500
14,648
15,96
15,113
15,225
15,237
15,341
15,387
15,508
15,510
15,516
15,551
15,601
15,645
16,91
16,121
16,160
16,297
16,331
16,357
16,385
16,403
16,406
16,426
16,432
16,457
16,565
16,586
16,612
17,40
17,72
17,82
17,84
17,86
17,161
17,182
17,183
17,255
17,289
17,291
17,345
17,356
17,496
17,600
17,626
17,649
18,6
18,7
18,17
18,30
18,52
18,92
18,177
18,218
18,221
18,279
18,303
18,304
18,355
18,363
18,368
18,561
18,562
18,629
18,640
18,663
19,50
19,51
19,157
19,162
19,184
19,202
19,242
19,285
19,339
19,349
19,366
19,421
19,524
19,533
19,610
20,18
20,32
20,38
20,70
20,109
20,176
20,198
20,206
20,216
20,233
20,252
20,300
20,452
20,499
20,547
20,639
21,45
21,286
21,336
21,563
21,591
21,628
22,12
22,20
22,29
22,35
22,223
22,267
22,281
22,288
22,290
22,378
22,479
22,480
22,497
22,536
22,542
23,75
23,232
23,258
23,439
23,462
23,464
23,465
23,492
23,522
23,544
23,576
23,622
24,57
24,61
24,67
24,101
24,111
24,151
24,158
24,178
24,274
24,313
24,316
24,535
24,574
25,47
25,54
25,74
25,94
25,145
25,149
25,250
25,264
25,396
25,520
25,527
25,570
25,616
26,1
26,43
26,199
26,263
26,293
26,308
26,329
26,365
26,484
26,568
27,93
27,95
27,138
27,180
27,187
27,195
27,200
27,208
27,212
27,214
27,323
27,360
27,381
27,430
27,451
27,454
27,467
27,585
27,652
28,19
28,25
28,124
28,165
28,261
28,309
28,332
28,413
28,447
28,478
28,498
28,505
28,592
28,595
28,632
29,105
29,136
29,246
29,260
29,265
29,275
29,325
29,395
29,446
29,532
29,546
29,620
29,623
29,635
30,15
30,27
30,77
30,134
30,164
30,240
30,326
30,398
30,399
30,481
30,502
30,650
31,56
31,58
31,62
31,167
31,227
31,284
31,299
31,320
31,327
31,337
31,397
31,490
31,534
31,593
31,604
31,605
31,660
32,41
32,68
32,108
32,328
32,342
32,393
32,402
32,427
32,486
32,584
32,594
32,607
32,637
32,657
33,131
33,217
33,296
33,353
33,359
33,459
33,466
33,539
33,572
33,590
34,21
34,36
34,66
34,153
34,219
34,266
34,270
34,310
34,344
34,380
34,400
34,433
34,540
34,549
35,5
35,23
35,31
35,63
35,81
35,100
35,115
35,175
35,210
35,215
35,269
35,276
35,287
35,348
35,474
35,526
35,541
35,664
36,34
36,88
36,110
36,130
36,146
36,171
36,201
36,273
36,346
36,375
36,386
36,494
36,548
37,28
37,60
37,83
37,251
37,272
37,352
37,422
37,552
37,602
37,624
37,642
38,55
38,76
38,128
38,438
38,550
38,588
39,10
39,78
39,144
39,155
39,186
39,235
39,306
39,382
39,418
39,441
39,442
39,460
39,573
39,583
39,589
39,641
40,207
40,243
40,249
40,301
40,458
40,506
40,571
40,578
40,579
40,587
40,603
40,619
40,625
40,630
41,90
41,135
41,192
41,228
41,271
41,317
41,369
41,373
41,379
41,415
41,504
41,514
41,525
41,531
41,582
42,3
42,103
42,106
42,197
42,222
42,292
42,318
42,405
42,416
42,425
42,503
42,529
42,537
42,608
42,621
43,53
43,64
43,69
43,104
43,148
43,150
43,268
43,312
43,361
43,401
43,417
43,428
43,469
43,501
43,597
43,659
44,33
44,79
44,185
44,338
44,391
44,530
44,655
45,22
45,37
45,116
45,132
45,140
45,203
45,229
45,354
45,392
45,412
45,423
45,443
45,471
45,482
45,507
45,609
45,631
45,647
45,665
46,13
46,48
46,163
46,166
46,169
46,172
46,188
46,220
46,238
46,340
46,411
46,437
46,440
46,495
46,564
46,567
46,598
46,613
46,627
46,638
47,8
47,16
47,89
47,98
47,117
47,173
47,174
47,191
47,196
47,209
47,259
47,277
47,305
47,404
47,410
47,513
47,611
47,633
47,651
48,0
48,71
48,118
48,159
48,181
48,194
48,254
48,298
48,414
48,419
48,450
48,476
48,523
